Company,Title,Location,Salary,Posted,Source,URL
Authenticjobs,Artificial Intelligence (AI) - Authentic Jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (authenticjobs.com),https://authenticjobs.com/blog-category/artificial-intelligence-ai/
Upwork,Artificial Intelligence Freelance Jobs: Work Remote & Earn Online,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/freelance-jobs/artificial-intelligence/
Toptal,Remote Freelance AI Engineer Jobs [Dec 2025] | Toptal®,Remote (Assumed from Source),Not Specified,Recent,Direct (toptal.com),https://www.toptal.com/freelance-jobs/developers/artificial-intelligence
Freelancer,Artificial Intelligence Jobs for January 2026 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/artificial-intelligence
Guru,Find Artificial Intelligence (AI) Freelance Jobs Online - Guru,Remote (Assumed from Source),Not Specified,Recent,Direct (guru.com),https://www.guru.com/m/find/freelance-jobs/artificial-intelligence-(ai)/
Upwork,The Best AI Freelancers For Hire In India - Upwork™,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/hire/ai-freelancers/in/
Upwork,The 17 Best AI Tools for Freelancers in 2026 - Upwork,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/resources/ai-tools-for-freelancers
Freelancer,Generative AI Jobs for September 2025 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/generative-ai/
Freelancer,Machine Learning (ML) Jobs for December 2025 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/machine-learning
Ziprecruiter,$24-$103/hr Freelance Ai Jobs (NOW HIRING) Jan 2026,Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/Jobs/Freelance-Ai
Jooble,Urgent! Freelance ai jobs - July 2025 (with Salaries!) - Jooble,Remote (Assumed from Source),Not Specified,Recent,Direct (jooble.org),https://jooble.org/jobs-freelance-ai
Monster,Best Freelance Jobs - Hiring Now! | Monster $24-$67/hr Freelance Artificial Intelligence Jobs - ZipRecruiter $24-$105/hr Freelance Machine Learning Jobs (NOW HIRING) $24-$96/hr Freelance Ai Jobs (NOW HIRING) Feb 2025 - ZipRecruiter How To Become A Freelance Artificial Intelligence Engineer In 2021 How To Become A Freelance Artificial Intelligence Engineer In 2021 How To Become A Freelance Artificial Intelligence Engineer In 2021 hiring artificial intelligence freelance jobs in remote,Remote (Assumed from Source),Not Specified,Recent,Direct (monster.com),https://www.monster.com/jobs/q-freelance-jobs
Ziprecruiter,$24-$67/hr Freelance Artificial Intelligence Jobs - ZipRecruiter,Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/Jobs/Freelance-Artificial-Intelligence
Ziprecruiter,$24-$105/hr Freelance Machine Learning Jobs (NOW HIRING),Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/Jobs/Freelance-Machine-Learning
Ziprecruiter,The 10 Top Types Of Ai Freelancer Jobs - ZipRecruiter,Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/t/Most-Popular-Types-Of-Ai-Freelancer-Jobs
Ziprecruiter,Freelance Uber Ai Jobs (Flexible Options) - Sign Up Now!,Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/Jobs/Freelance-Uber-Ai
Ziprecruiter,Freelance Ai Agent Jobs (NOW HIRING) - ZipRecruiter,Remote (Assumed from Source),Not Specified,Recent,Direct (ziprecruiter.com),https://www.ziprecruiter.com/Jobs/Freelance-Ai-Agent
