Company,Title,Location,Salary,Posted,Source,URL
InfraWare,Software Developer,Remote,Not Specified,2026-01-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010009020341
Cotiviti,Associate Software Engineer-Python and Big Data,Remote,Not Specified,2026-01-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010009184627
Jerry,Software Engineer (entry),"Austin, TX",Not Specified,2026-01-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010009187224
Jarvis Recruitment,Backend Python Developer – Remote,"New York, NY",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010008503363
PRICE WATERHOUSE COOPERS,US Tech - Backend Developer,"Hartford, CT",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010008585572
VetsEZ,Full Stack Developer (Remote Opportunity),"Austin, TX",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007503513
Fusion Technology-LLC,Software Developer,"Arlington, VA",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007540067
Capgemini,C# Developer,"Atlanta, GA",Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010006651637
Intela Group LLC,Java Developer,Remote,Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007026627
sukii.xyz,Next.JS Developer,Remote,Not Specified,2026-01-22,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010005883183
Creative Information Technology India,Back-End Developer – Remote,"Falls Church, VA",Not Specified,2026-01-21,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010004508573
ITRGroup,"Full Stack Developer - Python, React",Remote,Not Specified,2026-01-20,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010002952233
Netflix,Software Engineer 5,Remote,Not Specified,2026-01-18,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010001107917
Applied Research Solutions,Software Engineer-Entry Level,"Beavercreek, OH",Not Specified,2026-01-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010000741030
Uncrowned King Int'l Ltd,Fullstack Developer,Remote,Not Specified,2026-01-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009999519945
Odixcity Consulting,Python Developer,Remote,Not Specified,2026-01-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009999512271
Expertshub.ai,Python Developer,Remote,Not Specified,2026-01-15,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009997528222
Encora,Full Stack Developer,Remote,Not Specified,2026-01-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009995172308
SRR Consultants inc limited,Senior Python Developer,Remote,Not Specified,2026-01-10,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009992121229
Hiscope Enterprises,Python Developer,United States,Not Specified,2026-01-10,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009992939762
Netflix,"Software Engineer (L5), GenAI - Observability","Los Gatos, CA",Not Specified,2026-01-09,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009990930725
"Cipher Spectacle Media Holdings, INC.",Web Developer,Remote,Not Specified,2026-01-08,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009990424010
genieX,FastAPI Backend Developer – Contract Role with Opportunity for Full-Time,United States,Not Specified,2026-01-08,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009989674325
WEALTHCOUNSEL LLC,"Software Developer (Virtual, Full Time)",Remote,Not Specified,2026-01-07,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009988911649
Datasage Technologies,Senior Python Developer,United States,Not Specified,2026-01-07,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009988802240
Deep Reef,Junior Backend Software Engineer,Remote,Not Specified,2026-01-05,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009986136625
Unified,Software Engineer Level 1,"New York, NY",Not Specified,2026-01-02,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009984826078
Dataspace,Python & JavaScript Web Scraper,"Boston, MA",Not Specified,2025-12-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009978480794
Netflix,Software Engineering L5 - GenAI Platform,United States,Not Specified,2025-12-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009977458205
Phoenix Cyber,Python Developer [Job ID 20251222],United States,Not Specified,2025-12-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009977530122
Canopy,Backend Engineer (Python),"Utahn, UT",Not Specified,2025-12-18,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009972167277
Netflix,Full Stack Software Engineer 5 - Game Developer Tools,United States,Not Specified,2025-12-12,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009965921840
Entratus,Python Developer: Real-Time Intelligent Communication Systems,"Orlando, FL",Not Specified,2025-12-07,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009961008274
ICF,Python Developer,"Reston, VA",Not Specified,2025-12-03,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009955835947
Socket,"Forward Deployed Engineer, Python","San Francisco, CA",Not Specified,2025-11-27,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009949672386
NPT2,Full Stack Developer,Remote,Not Specified,2025-11-26,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009948627303
Rapideagle,Nodejs Developer,Remote,Not Specified,2025-11-20,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009943607753
TWO95 International INC,Python Full Stack developer,Remote,Not Specified,2025-11-19,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009943216156
